연번,지정일자,업종,업소명,업주명,구군,주소,연락처,대표메뉴1,대표메뉴2,대표메뉴1 가격,대표메뉴2 가격,변동사항,비 고
218,2019-08,한식,한양푼이 닭개장 국수 추어탕,한영순,달서구,월곡로32길 34 (상인동 1565-5),053-632-5858,닭개장,,6000,,변동없음,
219,2019-08,한식,중앙분식,시미연,달서구,상원로 22-17(상인동) 대동시장내,053-633-3518,칼국수,,4500,,변동없음,
220,2019-08,이미용업,다온헤어,고경빈,달서구,서당로 69-1 (신당동 1734-1),,커트,,8000,,변동없음,
221,2019-08,이미용업,서울미용실,이이자,달서구,달구벌대로 260길 20 (이곡동 661-20),,커트,,7000,,변동없음,
222,2019-08,일식,백두산식당,김일순,달서구,성서로 440-1 (이곡동 1227-9),053-591-2020,회덮밥,,8000,,변동없음,
223,2019-08,한식,신박칼국수,신봉애,달서구,선원로23길 17 (이곡동 1316-14),053-202-5292,잔치국수,,4000,,변동없음,
224,2019-08,한식,쌀맛난다,김상훈외 1명,달서구,선원로23남길 3 (이곡동 1310-8),053-291-6184,돈까스,,6000,,변동없음,
225,2019-08,한식,웅이네,김윤권,달서구,조암남로16길 30 (월성동 1139-1),070-7535-8282,김치찜,,6000,,변동없음,
226,2019-08,한식,성원푸드,김수정,달서구,문화회관5길 2 (장기동 628-4),053-588-1147,한식정식(뷔페),,5500,,변동없음,
227,2019-08,한식,국수둥지,이인창,달서구,월배로15길 10 (진천동 595-23),053-636-0207,잔치국수,,4000,,변동없음,
228,2019-08,중식,보배루,이슬기,달서구,당산로38길 17 (두류동 495-37),053-656-1002,짜장면(부추면),,3000,,변동없음,
229,2019-08,이미용업,Kim's 헤어샵,김춘한,달서구,월배로69길 63 (송현동 1909-3),053-627-8860,커트,,8000,,변동없음,
230,2011-11,이미용업,강변이용소,박노득,달성군,달성군 현풍읍 현풍로 56,053-611-8730,남성컷트,,11000,,변동없음,
231,2011-11,이미용업,명호이용소,유명호,달성군,달성군 현풍읍 현풍로 80,053-616-0061,남성컷트,,11000,,변동없음,달성군 관내 사업장 소재지 변경
232,2011-11,이미용업,윤정헤어,추효심,달성군,달성군 다사읍 서재로 30길 6-3,053-586-4790,컷트,,12000,,변동없음,
233,2012-06,한식,동곡윤송손칼국수,조재희,달성군,달성군 하빈면 달구벌대로55길 87-2,053-583-6396,칼국수,,5000,,변동없음,
234,2012-06,한식,서순자손수제비,윤기원,달성군,달성군 화원읍 비슬로 516길 54,053-637-1606,칼국수,,4000,,변동없음,
235,2012-06,이미용업,수원미용타운,안인숙,달성군,달성군 화원읍 성화로6길 22,053-643-0782,컷트,,10000,,변동없음,
236,2012-06,한식,순해집손칼국수,김미옥,달성군,달성군 화원읍 사문진로 425,053-638-9255,칼국수,,4000,,변동없음,
237,2012-06,이미용업,이영희헤어샵,이영희,달성군,"달성군 화원읍 명천로 241, 2층 207호",053-633-5158,컷트,,10000,,변동없음,
238,2012-06,목욕업,장수목욕탕,김태돌,달성군,달성군 다사읍 달구벌대로 860,053-588-4188,목욕탕(남),목욕탕(여),5000,4800,변동없음,
239,2012-06,한식,정아국밥,정곡자,달성군,"달성군 화원읍 비슬로 512길 58-5, 110호",,잔치국수,,4000,,변동없음,
240,2013-12,목욕업,선샤인사우나,이태현,달성군,달성군 다사읍 대실역북로2길 8-6,053-587-0035,목욕탕(남),목욕탕(여),6500,6000,변동없음,
241,2013-12,한식,이놈애양곱창,최설봄,달성군,달성군 다사읍 다사로 7,053-588-7419,모듬메뉴,,19000,,변동없음,
242,2013-05,한식,고구려,나윤덕,달성군,달성군 화원읍 명천로 244,053-639-6766,돼지갈비 200g,,9000,,변동없음,
243,2013-05,한식,대명숯불갈비,한경순,달성군,달성군 논공읍 금강로2길 19-2,053-615-8668,비빔밥,,5000,,변동없음,
244,2013-05,한식,별난집삼겹살,김영보,달성군,달성군 화원읍 명천로 250,053-636-1960,삼겹살180g,,7500,,변동없음,
245,2018-01,중식,옛날그맛 짜장면,강영옥,달성군,달성군 화원읍 화원로1길 45-29,053-985-5888,짜장면,,2000,,변동없음,
246,2018-01,한식,호야네착한국수,이영아,달성군,"달성군 화원읍 비슬로512길 66, 104호",053-638-6913,팥칼국수,,6000,,변동없음,
247,2018-10,한식,웰빙 보리밥,김연자,달성군,"달성군 화원읍 비슬로512길 66, 106호",053-637-2752,보리밥,,6000,,변동없음,
248,2018-10,이미용업,헤어일번지,이말희,달성군,"달성군 화원읍 비슬로512길 66, 108호",,컷트,,7000,,변동없음,
249,2019-10,한식,유가국수,김미정,달성군,"달성군 유가읍 테크노중앙대로 240, 107호",053-288-8400,잔치국수,,4000,,변동없음,
250,2019-10,한식,김밥 면 맛나분식,문미선,달성군,"달성군 유가읍 테크노상업로 120, 134호(엠스퀘어플러스)",053-611-5420,김밥,,2000,,변동없음,
